ru_utime, ru_stime, ru_minflt, ru_majflt, ru_inblock, ru_oublock, ru_nvcsw, ru_nivcsw, time_spent
13.695126,3.845016,467,0,0,5047960,63,490,19.000000
14.64401,3.965857,465,0,8,5047960,136,1313,20.000000
14.10757,3.648718,468,0,0,5047960,99,109,19.000000
13.994665,3.807990,467,0,0,5047960,32,976,18.000000
14.74301,3.957645,467,0,0,5047960,7560,1323,29.000000
14.53430,4.208793,466,0,0,5047960,28062,109,43.000000
14.183395,4.23828,465,0,0,5047960,12298,1380,39.000000
14.40900,3.655690,468,0,0,5047960,15363,87,32.000000
13.990095,4.59447,466,0,0,5047960,103,89,20.000000
14.189958,3.863088,466,0,0,5047960,108,1415,20.000000
14.260139,3.851715,468,0,8,5047960,185,2230,21.000000
13.813132,3.869437,470,0,0,5047960,122,988,20.000000
14.90154,3.712351,466,0,0,5047960,88,77,19.000000
14.165175,4.31164,470,0,0,5047960,7603,144,32.000000
14.52814,3.941984,466,0,0,5047960,90,69,19.000000
14.175255,3.745917,465,0,0,5047960,32,442,18.000000
13.401207,3.498226,466,0,0,5047960,9751,352,30.000000
14.158719,3.722611,470,0,0,5047960,2786,145,20.000000
14.147952,3.222167,467,0,13376,5047960,152,499,18.000000
13.813503,3.221014,466,0,13200,5047960,240,265,19.000000
14.241593,3.621353,467,0,0,5047960,563,1503,22.000000
14.384084,3.463057,468,0,0,5047960,57,989,19.000000
14.262528,3.619626,468,0,0,5047960,59,860,19.000000
14.231094,3.528767,468,0,0,5047960,25,1799,19.000000
14.241750,3.716808,467,0,0,5047960,16292,99,20.000000
13.438868,3.521993,468,0,0,5047960,9881,631,18.000000
14.573011,3.546849,468,0,0,5047960,16238,1369,20.000000
13.243367,3.327820,467,0,0,5047960,27,119,18.000000
12.927846,3.556761,467,0,0,5047960,15564,140,18.000000
14.307913,3.552971,466,0,0,5047960,34,237,19.000000
13.307194,3.648489,467,0,0,5047960,10438,691,18.000000
14.407728,3.393110,466,0,0,5047960,41,94,19.000000
14.188110,3.654997,467,0,0,5047960,54,83,19.000000
13.398306,3.280399,466,0,0,5047960,12927,595,26.000000
14.255630,3.553902,467,0,0,5047960,3910,2065,18.000000
14.159258,3.685559,469,0,0,5047960,56,2013,19.000000
14.235842,3.587927,466,0,0,5047960,105,1507,19.000000
