ru_utime, ru_stime, ru_minflt, ru_majflt, ru_inblock, ru_oublock, ru_nvcsw, ru_nivcsw, time_spent
0.988,0.0,32,0,0,0,9,0,98.000000
0.413,0.0,29,0,0,0,8,0,21.000000
0.260,0.0,32,0,0,0,4,0,120.000000
0.321,0.0,30,0,0,0,6,0,59.000000
0.728,0.0,30,0,0,0,7,0,19.000000
0.691,0.0,30,0,0,0,8,0,11.000000
0.2641,0.0,30,0,0,0,43,0,21.000000
0.3799,0.0,32,0,0,0,49,0,21.000000
0.289,0.0,30,0,0,0,6,0,8.000000
0.385,0.0,30,0,0,0,2,0,2.000000
0.1346,0.0,30,0,0,0,15,0,14.000000
0.615,0.0,30,0,0,0,11,0,9.000000
0.664,0.0,30,0,0,0,11,0,18.000000
0.477,0.0,32,0,0,0,11,0,11.000000
0.587,0.0,32,0,0,0,16,0,10.000000
0.0,0.400,32,0,0,0,6,0,6.000000
0.386,0.0,30,0,0,0,8,0,8.000000
0.474,0.0,31,0,0,0,11,0,14.000000
0.293,0.0,30,0,0,0,6,0,13.000000
0.468,0.0,30,0,0,0,8,0,13.000000
0.776,0.0,30,0,0,0,13,0,18.000000
0.925,0.0,32,0,0,0,9,0,32.000000
0.798,0.0,29,0,0,0,13,0,86.000000
0.962,0.0,32,0,0,0,15,0,17.000000
0.1070,0.0,29,0,0,0,11,0,18.000000
0.282,0.0,29,0,0,0,5,0,4.000000
