ru_utime, ru_stime, ru_minflt, ru_majflt, ru_inblock, ru_oublock, ru_nvcsw, ru_nivcsw, time_spent
0.2384,0.0,30,0,0,0,1,1,0.000000
0.101547,0.15044,374,0,0,0,13,2,0.000000
0.135302,0.3979,503,0,0,0,1,1,0.000000
0.133478,0.0,500,0,0,0,1,19,0.000000
0.72509,0.0,353,0,0,0,1,1,0.000000
0.131174,0.0,475,0,0,0,0,5,0.000000
0.39558,0.0,231,0,0,0,1,26,0.000000
0.418100,0.0,1200,0,0,0,1,0,0.000000
0.533,0.0,22,0,0,0,3,0,0.000000
0.134336,0.0,573,0,0,0,1,3,0.000000
0.261,0.0,24,0,0,0,3,0,0.000000
0.556236,0.4001,1642,0,0,0,1,29,1.000000
0.194,0.0,22,0,0,0,3,0,0.000000
0.169337,0.0,678,0,0,0,1,7,0.000000
0.203,0.0,21,0,0,0,3,0,0.000000
0.188,0.0,23,0,0,0,3,0,0.000000
0.191,0.0,22,0,0,0,3,0,0.000000
0.72736,0.0,360,0,0,0,1,1330,0.000000
0.179,0.0,22,0,0,0,3,0,0.000000
0.154029,0.0,634,0,0,0,1,4,0.000000
0.212,0.0,23,0,0,0,3,0,1.000000
0.164,0.0,22,0,0,0,3,0,0.000000
0.471972,0.3999,1474,0,0,0,1,30,0.000000
0.476679,0.0,1475,0,0,0,1,4,1.000000
0.168,0.0,22,0,0,0,3,0,0.000000
0.161495,0.0,696,0,0,0,1,10,0.000000
0.615069,0.0,1601,0,0,0,1,260,1.000000
0.700092,0.0,1737,0,0,0,1,10,1.000000
0.291182,0.0,987,0,0,0,1,13,0.000000
0.186,0.0,23,0,0,0,3,0,0.000000
0.198,0.0,23,0,0,0,3,0,0.000000
0.179,0.0,22,0,0,0,3,0,0.000000
0.192,0.0,23,0,0,0,3,0,0.000000
0.40019,0.0,176,0,0,0,0,0,0.000000
0.353,0.0,23,0,0,0,3,0,0.000000
0.579,0.0,22,0,0,0,3,0,0.000000
0.198,0.0,22,0,0,0,3,0,0.000000
0.361,0.0,22,0,0,0,3,0,1.000000
0.522,0.0,21,0,0,0,3,0,0.000000
0.433,0.0,21,0,0,0,3,0,0.000000
0.391513,0.0,1202,0,0,0,1,3,0.000000
0.263137,0.0,918,0,0,0,1,15,0.000000
0.262838,0.0,919,0,0,0,1,14,1.000000
0.145718,0.0,611,0,0,0,1,6,0.000000
0.181,0.0,21,0,0,0,3,0,0.000000
0.192,0.0,22,0,0,0,3,0,0.000000
0.216734,0.4013,819,0,0,0,1,2,0.000000
0.36340,0.0,217,0,0,0,1,110,0.000000
0.36187,0.0,216,0,0,0,1,4,0.000000
0.223537,0.3921,827,0,0,0,1,2247,0.000000
0.830344,0.0,1926,0,0,0,1,17,1.000000
0.602220,0.0,1576,0,0,0,1,1346,1.000000
0.802622,0.3973,1874,0,0,0,1,87,1.000000
0.329,0.0,22,0,0,0,3,0,0.000000
0.37914,0.0,223,0,0,0,1,4,1.000000
0.343699,0.3996,1104,0,0,0,1,1,1.000000
0.142827,0.0,587,0,0,0,1,2,0.000000
0.301,0.0,24,0,0,0,3,1,0.000000
0.183,0.0,21,0,0,0,3,0,0.000000
0.210,0.0,24,0,0,0,3,0,0.000000
0.857081,0.4005,1973,0,0,0,1,92,1.000000
0.195,0.0,22,0,0,0,3,0,0.000000
0.183,0.0,21,0,0,0,3,0,0.000000
0.0,0.226,21,0,0,0,3,0,1.000000
0.0,0.192,22,0,0,0,3,0,0.000000
0.155633,0.4206,649,0,0,0,1,108,0.000000
